job_title,salary_usd,experience_level,company_size,education_required,years_experience,industry
AI Research Scientist,90376,SE,M,Bachelor,9,Automotive
AI Software Engineer,61895,EN,M,Master,1,Media
AI Specialist,152626,MI,L,Associate,2,Education
NLP Engineer,80215,SE,M,PhD,7,Consulting
AI Consultant,54624,EN,S,Master,0,Media
AI Architect,123574,SE,M,Associate,7,Healthcare
Principal Data Scientist,79670,MI,S,Associate,3,Gaming
NLP Engineer,70640,EN,L,Master,0,Healthcare
Data Analyst,160710,SE,L,PhD,7,Government
AI Software Engineer,102557,SE,M,Master,5,Government
Autonomous Systems Engineer,102322,SE,M,Associate,8,Telecommunications
AI Architect,115047,EX,S,Master,15,Manufacturing
AI Consultant,124355,SE,M,PhD,5,Automotive
Autonomous Systems Engineer,68760,EN,S,Master,0,Energy
AI Research Scientist,150122,SE,M,Associate,6,Technology
AI Product Manager,78846,EN,L,PhD,0,Consulting
Principal Data Scientist,59823,EN,L,Bachelor,1,Real Estate
Machine Learning Engineer,181139,EX,L,Associate,15,Real Estate
Data Engineer,155300,SE,M,Associate,9,Finance
Research Scientist,93851,MI,L,PhD,4,Transportation
Data Engineer,134197,MI,M,Bachelor,3,Telecommunications
Autonomous Systems Engineer,102550,MI,M,Bachelor,2,Automotive
ML Ops Engineer,99382,SE,S,PhD,7,Automotive
AI Product Manager,52167,MI,M,Master,4,Telecommunications
ML Ops Engineer,53923,MI,S,Bachelor,2,Healthcare
Robotics Engineer,109779,SE,L,PhD,6,Government
ML Ops Engineer,80979,MI,S,Master,2,Media
Data Analyst,52997,MI,M,PhD,2,Government
Head of AI,42819,EN,M,PhD,0,Healthcare
ML Ops Engineer,82083,MI,L,Master,2,Retail
Head of AI,67488,EN,M,Master,1,Retail
Research Scientist,68624,EN,M,Master,1,Real Estate
Robotics Engineer,146852,SE,S,PhD,7,Real Estate
ML Ops Engineer,178183,EX,M,Associate,16,Education
Deep Learning Engineer,150864,SE,L,PhD,8,Consulting
Head of AI,126942,EX,L,Associate,10,Finance
AI Architect,53752,MI,M,Associate,2,Telecommunications
Robotics Engineer,111381,EX,S,Master,18,Government
AI Specialist,41430,EN,M,Bachelor,1,Healthcare
Data Engineer,166080,EX,L,Associate,15,Government
Data Scientist,96956,MI,M,Bachelor,2,Telecommunications
AI Architect,196954,SE,L,Bachelor,8,Finance
AI Specialist,56745,EN,L,Associate,1,Telecommunications
Machine Learning Researcher,113455,SE,M,Associate,8,Retail
ML Ops Engineer,158808,SE,M,Bachelor,5,Media
AI Research Scientist,174663,SE,M,Associate,7,Media
AI Research Scientist,46753,EN,S,PhD,1,Manufacturing
AI Software Engineer,69020,MI,L,Bachelor,4,Energy
AI Specialist,288815,EX,S,Bachelor,12,Manufacturing
AI Consultant,124871,EX,M,PhD,19,Media
AI Architect,70391,MI,S,PhD,4,Government
Research Scientist,115376,EX,M,Master,17,Technology
Research Scientist,106579,MI,S,Associate,3,Gaming
Data Scientist,135230,SE,S,PhD,8,Consulting
Research Scientist,67607,MI,S,Master,4,Media
AI Architect,88470,MI,L,Associate,3,Real Estate
Autonomous Systems Engineer,79863,MI,L,Associate,4,Automotive
Machine Learning Engineer,60299,EN,L,PhD,0,Finance
Machine Learning Engineer,85645,MI,M,Associate,4,Transportation
AI Software Engineer,110222,SE,S,Associate,8,Media
Data Scientist,49365,EN,M,Associate,1,Finance
Data Scientist,162296,SE,S,Bachelor,6,Finance
AI Consultant,102382,MI,M,PhD,3,Education
AI Software Engineer,99972,MI,M,PhD,4,Technology
Data Engineer,64129,EN,L,Bachelor,0,Manufacturing
AI Specialist,87938,SE,S,PhD,8,Education
Autonomous Systems Engineer,71405,MI,L,Associate,4,Retail
Machine Learning Engineer,316182,EX,M,Associate,12,Finance
Machine Learning Researcher,72459,EN,M,Bachelor,0,Gaming
Principal Data Scientist,78338,MI,L,Associate,3,Technology
NLP Engineer,51907,MI,M,Bachelor,4,Healthcare
Autonomous Systems Engineer,122831,SE,S,Master,7,Real Estate
Machine Learning Researcher,124820,MI,S,Associate,3,Real Estate
Autonomous Systems Engineer,134200,SE,S,PhD,9,Retail
Data Engineer,51920,EN,S,PhD,0,Consulting
Data Engineer,56427,EN,M,Master,0,Energy
AI Product Manager,213783,EX,S,Bachelor,16,Energy
ML Ops Engineer,59728,MI,M,Associate,2,Finance
Computer Vision Engineer,119432,SE,L,PhD,6,Technology
AI Research Scientist,284486,EX,M,Master,12,Consulting
Data Analyst,157597,EX,L,Bachelor,17,Manufacturing
ML Ops Engineer,196942,EX,L,Master,19,Gaming
Machine Learning Researcher,207548,EX,M,PhD,10,Energy
NLP Engineer,68838,MI,S,PhD,3,Automotive
ML Ops Engineer,125666,EX,L,PhD,13,Telecommunications
NLP Engineer,73174,EN,M,Associate,0,Finance
Autonomous Systems Engineer,33314,EN,S,Bachelor,0,Manufacturing
AI Specialist,69914,EN,S,Associate,0,Transportation
Principal Data Scientist,152118,EX,M,Master,11,Automotive
AI Software Engineer,78014,EN,L,PhD,0,Real Estate
Research Scientist,48466,EN,S,Bachelor,0,Automotive
Data Analyst,97997,SE,S,PhD,8,Technology
Principal Data Scientist,128341,SE,S,Bachelor,9,Finance
AI Research Scientist,111528,MI,L,PhD,3,Real Estate
Machine Learning Researcher,138945,EX,S,Master,19,Education
NLP Engineer,98688,SE,M,Bachelor,8,Manufacturing
Data Analyst,109029,SE,S,Bachelor,6,Technology
NLP Engineer,84797,MI,M,Master,4,Real Estate
Machine Learning Researcher,290199,EX,L,Master,12,Retail
AI Research Scientist,195691,SE,L,PhD,8,Transportation
AI Product Manager,193448,SE,L,Associate,9,Consulting
AI Product Manager,138466,EX,L,Associate,16,Government
Data Analyst,91577,MI,M,Bachelor,3,Transportation
Computer Vision Engineer,92875,MI,S,PhD,3,Real Estate
Data Engineer,213287,EX,S,Master,13,Healthcare
NLP Engineer,62171,MI,S,Bachelor,2,Consulting
AI Research Scientist,152658,EX,L,Associate,16,Automotive
ML Ops Engineer,95085,MI,M,Associate,2,Retail
Deep Learning Engineer,86750,MI,S,PhD,2,Government
AI Specialist,64261,MI,M,Master,2,Transportation
Machine Learning Researcher,205357,EX,S,Bachelor,18,Education
AI Architect,165676,EX,S,Associate,18,Government
Computer Vision Engineer,114658,SE,M,Bachelor,9,Telecommunications
Data Scientist,143149,SE,L,Master,6,Real Estate
Machine Learning Researcher,116276,SE,S,Bachelor,7,Technology
NLP Engineer,61055,EN,M,Bachelor,0,Retail
ML Ops Engineer,50303,EN,L,Master,0,Gaming
Data Analyst,65570,SE,S,Associate,7,Retail
AI Software Engineer,231078,EX,M,Bachelor,17,Consulting
AI Product Manager,106633,SE,M,Bachelor,9,Automotive
AI Specialist,121180,SE,L,Master,9,Media
Principal Data Scientist,64531,EN,L,PhD,0,Retail
Machine Learning Engineer,125654,MI,L,PhD,4,Automotive
Machine Learning Researcher,182275,EX,L,PhD,14,Technology
Machine Learning Researcher,117708,MI,L,PhD,4,Transportation
Data Engineer,143246,EX,S,Master,11,Healthcare
AI Product Manager,203198,SE,L,Master,5,Consulting
Research Scientist,69487,EN,S,Master,0,Transportation
AI Product Manager,95673,EX,S,Associate,17,Technology
AI Software Engineer,59405,EN,L,Bachelor,1,Consulting
AI Specialist,131756,SE,M,PhD,5,Technology
AI Software Engineer,42835,EN,L,Bachelor,0,Media
Autonomous Systems Engineer,61893,EN,M,Associate,1,Consulting
ML Ops Engineer,141791,EX,M,PhD,13,Media
AI Product Manager,258637,EX,M,Master,11,Education
NLP Engineer,49485,MI,S,Associate,2,Technology
Robotics Engineer,172916,SE,S,Bachelor,8,Manufacturing
Machine Learning Engineer,324557,EX,L,PhD,11,Telecommunications
AI Consultant,73894,MI,M,Bachelor,4,Consulting
Principal Data Scientist,122598,SE,S,Associate,9,Media
Data Scientist,94478,MI,S,PhD,4,Retail
Autonomous Systems Engineer,53088,EN,M,PhD,1,Finance
Machine Learning Researcher,116012,MI,M,Master,3,Automotive
Deep Learning Engineer,35593,EN,S,Bachelor,0,Media
AI Product Manager,149053,EX,S,Master,17,Media
Principal Data Scientist,88230,MI,L,Associate,4,Education
AI Research Scientist,224919,EX,M,Associate,19,Education
Machine Learning Researcher,220439,EX,S,Associate,12,Manufacturing
NLP Engineer,48861,EN,S,Bachelor,0,Healthcare
AI Specialist,115841,SE,S,PhD,7,Healthcare
NLP Engineer,57266,MI,M,Bachelor,3,Media
Deep Learning Engineer,66384,MI,S,Associate,2,Government
Data Analyst,184637,EX,S,Bachelor,11,Government
AI Research Scientist,92445,MI,M,Bachelor,4,Technology
Machine Learning Researcher,57388,EN,L,Associate,1,Consulting
Head of AI,53374,MI,M,PhD,2,Government
AI Research Scientist,95716,SE,S,PhD,6,Media
NLP Engineer,157091,MI,L,PhD,2,Transportation
ML Ops Engineer,204144,SE,L,PhD,8,Telecommunications
AI Software Engineer,190314,EX,M,PhD,12,Government
Principal Data Scientist,198403,EX,M,Associate,15,Media
Research Scientist,153040,SE,L,Bachelor,7,Manufacturing
AI Software Engineer,51898,MI,S,Associate,2,Consulting
AI Architect,115191,SE,S,Associate,7,Education
ML Ops Engineer,170139,SE,L,Bachelor,5,Technology
ML Ops Engineer,63860,EN,L,Master,0,Gaming
NLP Engineer,125152,MI,M,PhD,3,Retail
AI Software Engineer,61572,EN,L,Bachelor,0,Healthcare
Head of AI,101054,MI,M,Master,3,Transportation
Data Engineer,145355,EX,S,Master,13,Media
Deep Learning Engineer,183484,EX,S,Master,19,Gaming
AI Product Manager,111997,MI,L,PhD,2,Technology
AI Specialist,214195,EX,M,Bachelor,19,Manufacturing
AI Software Engineer,93211,SE,M,Master,9,Manufacturing
Deep Learning Engineer,82209,EN,L,Master,1,Transportation
AI Software Engineer,149669,SE,M,Associate,9,Retail
AI Software Engineer,56825,MI,M,Associate,3,Government
Research Scientist,131635,MI,L,PhD,2,Manufacturing
NLP Engineer,163843,SE,L,PhD,7,Telecommunications
AI Consultant,73281,MI,L,Bachelor,2,Technology
Principal Data Scientist,51907,MI,M,Associate,3,Technology
NLP Engineer,178240,EX,S,Bachelor,12,Real Estate
Machine Learning Researcher,83226,SE,S,Master,7,Technology
AI Product Manager,46995,EN,S,Master,1,Finance
AI Research Scientist,275296,EX,L,Associate,14,Transportation
Deep Learning Engineer,300422,EX,M,Bachelor,11,Education
AI Product Manager,116704,MI,L,Bachelor,2,Finance
AI Specialist,98422,EN,L,PhD,0,Transportation
Machine Learning Researcher,210249,EX,M,Master,15,Gaming
NLP Engineer,67708,MI,S,Master,3,Manufacturing
Data Engineer,95796,EX,S,Master,13,Consulting
Head of AI,229098,EX,L,Master,17,Government
ML Ops Engineer,134300,EX,S,Master,11,Education
AI Specialist,74408,EN,M,Associate,1,Automotive
AI Architect,201971,EX,M,PhD,13,Technology
AI Software Engineer,180764,EX,S,Master,17,Gaming
Principal Data Scientist,49644,EN,L,Bachelor,0,Finance
AI Product Manager,89115,SE,M,Master,7,Energy
AI Software Engineer,38540,EN,S,Associate,1,Technology
AI Product Manager,180252,SE,L,Master,7,Telecommunications
Robotics Engineer,56585,EN,S,Master,1,Gaming
AI Specialist,103942,SE,M,PhD,5,Education
Autonomous Systems Engineer,176009,SE,L,Bachelor,9,Automotive
AI Specialist,59056,MI,M,Associate,2,Healthcare
AI Consultant,76940,MI,M,Associate,3,Transportation
Machine Learning Engineer,110341,SE,M,PhD,7,Retail
Data Scientist,102922,MI,L,Associate,4,Government
Machine Learning Researcher,44130,EN,S,Master,0,Technology
Data Engineer,128112,SE,L,Associate,5,Telecommunications
Data Analyst,48892,EN,M,Bachelor,0,Consulting
Research Scientist,127478,MI,L,Master,4,Transportation
AI Research Scientist,100524,SE,M,PhD,6,Gaming
Deep Learning Engineer,45429,EN,L,Associate,0,Gaming
ML Ops Engineer,62262,MI,L,Bachelor,4,Healthcare
AI Specialist,68595,MI,S,Master,4,Manufacturing
AI Software Engineer,301038,EX,M,PhD,18,Media
Robotics Engineer,46253,EN,M,Associate,1,Government
NLP Engineer,59644,EN,M,Associate,0,Consulting
Principal Data Scientist,53960,MI,M,Master,3,Telecommunications
Computer Vision Engineer,94894,EN,L,Associate,1,Real Estate
Autonomous Systems Engineer,91611,SE,L,Associate,5,Finance
NLP Engineer,285880,EX,L,Master,18,Finance
AI Architect,115263,MI,L,Bachelor,3,Finance
Research Scientist,51882,MI,S,Associate,3,Technology
Data Scientist,82051,MI,M,Master,2,Automotive
ML Ops Engineer,122331,SE,L,PhD,5,Retail
AI Product Manager,159643,SE,S,Master,5,Gaming
Research Scientist,254305,EX,M,Bachelor,15,Transportation
Data Analyst,52027,MI,M,Master,2,Retail
Robotics Engineer,43072,EN,S,Associate,0,Energy
Research Scientist,87011,MI,L,PhD,4,Gaming
AI Research Scientist,36734,EN,S,Master,1,Media
Head of AI,84897,MI,L,Associate,3,Manufacturing
AI Research Scientist,173839,SE,M,Bachelor,5,Government
ML Ops Engineer,59357,EN,L,Master,0,Transportation
Data Scientist,51431,EN,M,Associate,0,Transportation
Autonomous Systems Engineer,96506,SE,S,PhD,5,Finance
Data Analyst,59198,EN,S,Master,1,Manufacturing
Machine Learning Engineer,223757,EX,S,PhD,12,Education
Deep Learning Engineer,74322,EN,L,Bachelor,1,Gaming
Research Scientist,120749,MI,M,Associate,2,Retail
NLP Engineer,138212,EX,S,Master,15,Media
Robotics Engineer,199039,EX,S,Master,15,Real Estate
AI Specialist,105699,SE,S,PhD,6,Healthcare
Research Scientist,38497,EN,S,Bachelor,0,Consulting
AI Product Manager,63141,MI,S,Associate,3,Manufacturing
AI Specialist,87871,SE,L,Master,9,Telecommunications
Research Scientist,255678,EX,M,Bachelor,18,Telecommunications
Data Analyst,132056,SE,S,Master,7,Gaming
AI Research Scientist,146085,SE,M,Associate,6,Technology
Data Engineer,85037,MI,M,Master,3,Finance
AI Product Manager,42661,EN,M,Bachelor,1,Finance
Deep Learning Engineer,119706,SE,L,Associate,7,Retail
Computer Vision Engineer,110064,EX,M,Bachelor,10,Finance
Research Scientist,91090,SE,M,Associate,9,Telecommunications
Principal Data Scientist,80307,MI,L,Master,4,Retail
AI Product Manager,107321,MI,L,Master,3,Technology
Head of AI,59373,EN,L,PhD,0,Gaming
Machine Learning Researcher,65191,EN,S,Master,0,Education
Robotics Engineer,152969,EX,L,Associate,16,Government
Research Scientist,147893,SE,S,Associate,8,Healthcare
Principal Data Scientist,69807,EN,L,Bachelor,0,Transportation
AI Software Engineer,67824,EN,L,Bachelor,0,Gaming
Data Engineer,141523,EX,L,Associate,10,Manufacturing
Data Analyst,122796,SE,L,PhD,9,Healthcare
AI Consultant,81885,MI,S,PhD,3,Retail
Data Analyst,118505,SE,M,Bachelor,5,Government
Robotics Engineer,133565,SE,S,Master,5,Media
Data Analyst,60019,EN,S,PhD,1,Government
ML Ops Engineer,76875,EN,M,Bachelor,0,Transportation
Deep Learning Engineer,64400,EN,L,Bachelor,1,Transportation
Autonomous Systems Engineer,68857,MI,M,Master,3,Government
Computer Vision Engineer,97840,SE,M,Bachelor,7,Technology
Machine Learning Engineer,168619,EX,L,Bachelor,18,Automotive
Machine Learning Researcher,118132,SE,M,Associate,8,Education
Principal Data Scientist,81112,SE,S,PhD,7,Consulting
Head of AI,111502,MI,M,Master,4,Energy
NLP Engineer,151610,SE,L,Associate,5,Retail
Machine Learning Engineer,95128,SE,L,Bachelor,7,Government
Machine Learning Engineer,136733,SE,S,PhD,8,Gaming
ML Ops Engineer,69822,MI,S,Bachelor,3,Finance
Machine Learning Researcher,88380,EN,L,Bachelor,0,Automotive
NLP Engineer,199482,EX,S,Bachelor,18,Transportation
Deep Learning Engineer,56268,MI,S,Bachelor,4,Automotive
Data Engineer,142301,EX,M,Master,12,Telecommunications
NLP Engineer,178371,EX,M,Associate,15,Energy
Computer Vision Engineer,157412,EX,S,Associate,12,Government
AI Software Engineer,250562,EX,S,Associate,12,Government
Data Engineer,167401,EX,M,Bachelor,14,Manufacturing
Computer Vision Engineer,85328,EN,L,Bachelor,0,Consulting
AI Consultant,94160,SE,S,Associate,5,Automotive
NLP Engineer,147732,EX,M,Master,17,Gaming
Autonomous Systems Engineer,50749,EN,S,Master,0,Government
AI Consultant,222223,EX,M,PhD,19,Retail
Data Analyst,47958,EN,L,Bachelor,0,Gaming
Data Scientist,52877,EN,L,PhD,1,Retail
AI Research Scientist,138782,EX,M,Bachelor,19,Finance
